Run_ID,Training_Time,Gamma,Learning_Rate
1,15.95596694946289,0.95,0.001
2,16.022549867630005,0.95,0.001
3,15.563851356506348,0.95,0.001
4,15.200979948043823,0.95,0.001
5,15.511069536209106,0.95,0.001
6,15.321942329406738,0.95,0.001
7,16.53650975227356,0.95,0.001
8,16.504265069961548,0.95,0.001
9,15.719845056533813,0.95,0.001
10,15.63947343826294,0.95,0.001
11,15.290640592575073,0.95,0.001
12,16.74558401107788,0.95,0.001
13,18.44364070892334,0.95,0.001
14,17.045940399169922,0.95,0.001
15,15.558331489562988,0.95,0.001
16,15.029531240463257,0.95,0.001
17,15.872719526290894,0.95,0.001
18,16.401988983154297,0.95,0.001
19,15.187203645706177,0.95,0.001
20,15.209639310836792,0.95,0.001
21,15.055965662002563,0.95,0.001
22,14.954712152481079,0.95,0.001
23,16.14506506919861,0.95,0.001
24,15.086756229400635,0.95,0.001
25,15.218214273452759,0.95,0.001
26,15.233144998550415,0.95,0.001
27,14.814790487289429,0.95,0.001
28,15.377724885940552,0.95,0.001
29,15.09944772720337,0.95,0.001
30,14.98856258392334,0.95,0.001
Average,15.691201909383137,0.95,0.001
