Run_ID,Training_Time,Gamma,Learning_Rate,Batch_Size,Memory_Size,Alpha,Beta_Start
1,38.357194662094116,0.9,0.001,16,5000,0.6,0.4
2,38.08160996437073,0.9,0.001,16,5000,0.6,0.4
3,37.42006301879883,0.9,0.001,16,5000,0.6,0.4
4,39.215861797332764,0.9,0.001,16,5000,0.6,0.4
5,36.66491627693176,0.9,0.001,16,5000,0.6,0.4
6,40.067941188812256,0.9,0.001,16,5000,0.6,0.4
7,42.06911063194275,0.9,0.001,16,5000,0.6,0.4
8,39.99509859085083,0.9,0.001,16,5000,0.6,0.4
9,40.96395230293274,0.9,0.001,16,5000,0.6,0.4
10,44.09309267997742,0.9,0.001,16,5000,0.6,0.4
11,42.70122170448303,0.9,0.001,16,5000,0.6,0.4
12,43.16852569580078,0.9,0.001,16,5000,0.6,0.4
13,44.788840770721436,0.9,0.001,16,5000,0.6,0.4
14,40.18199181556702,0.9,0.001,16,5000,0.6,0.4
15,40.08377981185913,0.9,0.001,16,5000,0.6,0.4
16,39.68009376525879,0.9,0.001,16,5000,0.6,0.4
17,41.00207591056824,0.9,0.001,16,5000,0.6,0.4
18,40.03392720222473,0.9,0.001,16,5000,0.6,0.4
19,40.428404569625854,0.9,0.001,16,5000,0.6,0.4
20,40.42800045013428,0.9,0.001,16,5000,0.6,0.4
21,40.14797282218933,0.9,0.001,16,5000,0.6,0.4
22,40.317172050476074,0.9,0.001,16,5000,0.6,0.4
23,39.7084276676178,0.9,0.001,16,5000,0.6,0.4
24,39.99416732788086,0.9,0.001,16,5000,0.6,0.4
25,39.946982622146606,0.9,0.001,16,5000,0.6,0.4
26,39.673678159713745,0.9,0.001,16,5000,0.6,0.4
27,39.77201437950134,0.9,0.001,16,5000,0.6,0.4
28,39.061622858047485,0.9,0.001,16,5000,0.6,0.4
29,39.279890298843384,0.9,0.001,16,5000,0.6,0.4
30,39.3978328704834,0.9,0.001,16,5000,0.6,0.4
Average,40.22418212890625,0.9,0.001,16,5000,0.6,0.4
1,39.6447811126709,0.9,0.001,16,5000,0.6,0.4
2,34.15597891807556,0.9,0.001,16,5000,0.6,0.4
3,32.67898654937744,0.9,0.001,16,5000,0.6,0.4
4,32.63963484764099,0.9,0.001,16,5000,0.6,0.4
5,32.97768712043762,0.9,0.001,16,5000,0.6,0.4
6,33.24204969406128,0.9,0.001,16,5000,0.6,0.4
7,32.686636209487915,0.9,0.001,16,5000,0.6,0.4
8,32.979036808013916,0.9,0.001,16,5000,0.6,0.4
9,32.50775384902954,0.9,0.001,16,5000,0.6,0.4
10,32.953869581222534,0.9,0.001,16,5000,0.6,0.4
11,32.82707738876343,0.9,0.001,16,5000,0.6,0.4
12,33.58696365356445,0.9,0.001,16,5000,0.6,0.4
13,34.13628530502319,0.9,0.001,16,5000,0.6,0.4
14,34.57356595993042,0.9,0.001,16,5000,0.6,0.4
15,35.215805768966675,0.9,0.001,16,5000,0.6,0.4
16,35.92933130264282,0.9,0.001,16,5000,0.6,0.4
17,36.390244245529175,0.9,0.001,16,5000,0.6,0.4
18,36.34720253944397,0.9,0.001,16,5000,0.6,0.4
19,36.64651346206665,0.9,0.001,16,5000,0.6,0.4
20,36.57094931602478,0.9,0.001,16,5000,0.6,0.4
21,36.38370490074158,0.9,0.001,16,5000,0.6,0.4
22,35.968528032302856,0.9,0.001,16,5000,0.6,0.4
23,36.05860662460327,0.9,0.001,16,5000,0.6,0.4
24,35.97993779182434,0.9,0.001,16,5000,0.6,0.4
25,36.5193247795105,0.9,0.001,16,5000,0.6,0.4
26,36.61697769165039,0.9,0.001,16,5000,0.6,0.4
27,36.00764870643616,0.9,0.001,16,5000,0.6,0.4
28,36.431725025177,0.9,0.001,16,5000,0.6,0.4
29,36.47583508491516,0.9,0.001,16,5000,0.6,0.4
30,36.11730766296387,0.9,0.001,16,5000,0.6,0.4
Average,37.632923563321434,0.9,0.001,16,5000,0.6,0.4
