Run_ID,Training_Time,Learning_Rate,Batch_Size,Memory_Size,Alpha,Beta_Start
1,46.046436071395874,0.0015,16,5000,0.6,0.4
2,49.6335232257843,0.0015,16,5000,0.6,0.4
3,47.445547103881836,0.0015,16,5000,0.6,0.4
4,43.74656629562378,0.0015,16,5000,0.6,0.4
5,43.39549684524536,0.0015,16,5000,0.6,0.4
6,42.88394260406494,0.0015,16,5000,0.6,0.4
7,45.304094314575195,0.0015,16,5000,0.6,0.4
8,42.911314725875854,0.0015,16,5000,0.6,0.4
9,44.933183670043945,0.0015,16,5000,0.6,0.4
10,45.338858127593994,0.0015,16,5000,0.6,0.4
11,45.325560569763184,0.0015,16,5000,0.6,0.4
12,39.83067274093628,0.0015,16,5000,0.6,0.4
13,37.90146541595459,0.0015,16,5000,0.6,0.4
14,37.52760291099548,0.0015,16,5000,0.6,0.4
15,37.619524002075195,0.0015,16,5000,0.6,0.4
16,37.73353815078735,0.0015,16,5000,0.6,0.4
17,37.519349336624146,0.0015,16,5000,0.6,0.4
18,37.32525634765625,0.0015,16,5000,0.6,0.4
19,36.9424102306366,0.0015,16,5000,0.6,0.4
20,37.66884398460388,0.0015,16,5000,0.6,0.4
21,37.92744064331055,0.0015,16,5000,0.6,0.4
22,37.43209791183472,0.0015,16,5000,0.6,0.4
23,40.62464928627014,0.0015,16,5000,0.6,0.4
24,40.76031684875488,0.0015,16,5000,0.6,0.4
25,41.47740817070007,0.0015,16,5000,0.6,0.4
26,43.458752155303955,0.0015,16,5000,0.6,0.4
27,45.18776059150696,0.0015,16,5000,0.6,0.4
28,43.66397976875305,0.0015,16,5000,0.6,0.4
29,44.45601677894592,0.0015,16,5000,0.6,0.4
30,44.678487062454224,0.0015,16,5000,0.6,0.4
Average,41.89000319639842,0.0015,16,5000,0.6,0.4
1,39.7203266620636,0.0015,16,5000,0.6,0.4
2,41.53544640541077,0.0015,16,5000,0.6,0.4
3,41.132543325424194,0.0015,16,5000,0.6,0.4
4,44.46508574485779,0.0015,16,5000,0.6,0.4
5,42.04737114906311,0.0015,16,5000,0.6,0.4
Average,41.87431054796491,0.0015,16,5000,0.6,0.4
